sensor_id,start_timestamp,end_timestamp,run_steps,duration_minutes,duration_hours
717490,2012-06-05 12:25:00,2012-06-11 08:35:00,1683,8415,140.25
717491,2012-06-05 12:25:00,2012-06-11 08:35:00,1683,8415,140.25
769430,2012-06-21 17:35:00,2012-06-26 08:20:00,1330,6650,110.83
769431,2012-06-21 17:35:00,2012-06-26 08:20:00,1330,6650,110.83
769443,2012-06-21 17:35:00,2012-06-26 08:20:00,1330,6650,110.83
769444,2012-06-21 17:35:00,2012-06-26 08:20:00,1330,6650,110.83
759772,2012-03-09 12:45:00,2012-03-13 13:20:00,1160,5800,96.67
716968,2012-03-09 14:55:00,2012-03-13 13:20:00,1134,5670,94.5
717804,2012-03-09 14:55:00,2012-03-13 13:20:00,1134,5670,94.5
718496,2012-03-09 14:55:00,2012-03-13 13:20:00,1134,5670,94.5
774204,2012-03-09 14:55:00,2012-03-13 13:20:00,1134,5670,94.5
717576,2012-05-26 12:55:00,2012-05-30 10:00:00,1118,5590,93.17
718204,2012-05-26 12:55:00,2012-05-30 10:00:00,1118,5590,93.17
773869,2012-05-26 12:55:00,2012-05-30 10:00:00,1118,5590,93.17
760987,2012-03-30 21:00:00,2012-04-03 09:25:00,1014,5070,84.5
716939,2012-05-29 09:35:00,2012-06-01 12:55:00,905,4525,75.42
718076,2012-03-15 09:15:00,2012-03-18 10:05:00,875,4375,72.92
716953,2012-05-13 22:15:00,2012-05-16 21:35:00,857,4285,71.42
716955,2012-05-13 22:15:00,2012-05-16 21:35:00,857,4285,71.42
718045,2012-05-13 22:15:00,2012-05-16 21:35:00,857,4285,71.42
760650,2012-05-13 22:15:00,2012-05-16 21:35:00,857,4285,71.42
716554,2012-05-19 11:20:00,2012-05-22 10:25:00,854,4270,71.17
717580,2012-05-19 11:20:00,2012-05-22 10:25:00,854,4270,71.17
717583,2012-05-19 11:20:00,2012-05-22 10:25:00,854,4270,71.17
717585,2012-05-19 11:20:00,2012-05-22 10:25:00,854,4270,71.17
717587,2012-05-19 11:20:00,2012-05-22 10:25:00,854,4270,71.17
717099,2012-05-19 11:10:00,2012-05-22 10:05:00,852,4260,71.0
717590,2012-05-19 11:10:00,2012-05-22 10:05:00,852,4260,71.0
717592,2012-05-19 11:10:00,2012-05-22 10:05:00,852,4260,71.0
717576,2012-04-06 10:50:00,2012-04-09 09:30:00,849,4245,70.75
718204,2012-04-06 10:50:00,2012-04-09 09:30:00,849,4245,70.75
760987,2012-05-12 13:55:00,2012-05-15 09:25:00,811,4055,67.58
716939,2012-05-26 00:20:00,2012-05-28 17:30:00,783,3915,65.25
761599,2012-06-16 12:15:00,2012-06-18 13:10:00,588,2940,49.0
773927,2012-04-18 10:25:00,2012-04-20 10:30:00,578,2890,48.17
763995,2012-05-05 12:20:00,2012-05-07 12:10:00,575,2875,47.92
759591,2012-03-12 11:20:00,2012-03-14 10:15:00,564,2820,47.0
716939,2012-04-02 12:40:00,2012-04-04 10:05:00,546,2730,45.5
716955,2012-06-19 12:55:00,2012-06-21 10:00:00,542,2710,45.17
769430,2012-06-17 15:05:00,2012-06-19 11:45:00,537,2685,44.75
716939,2012-06-03 21:05:00,2012-06-05 12:50:00,478,2390,39.83
769388,2012-05-19 20:10:00,2012-05-21 11:25:00,472,2360,39.33
773995,2012-04-17 23:40:00,2012-04-19 12:25:00,442,2210,36.83
773996,2012-04-17 23:40:00,2012-04-19 12:25:00,442,2210,36.83
774011,2012-04-17 23:40:00,2012-04-19 12:25:00,442,2210,36.83
774012,2012-04-17 23:40:00,2012-04-19 12:25:00,442,2210,36.83
718076,2012-03-26 03:50:00,2012-03-27 16:05:00,436,2180,36.33
769405,2012-05-26 23:00:00,2012-05-28 10:05:00,422,2110,35.17
769418,2012-05-26 23:00:00,2012-05-28 10:05:00,422,2110,35.17
767454,2012-03-26 07:30:00,2012-03-27 17:50:00,413,2065,34.42
760987,2012-04-15 23:20:00,2012-04-17 09:30:00,411,2055,34.25
767455,2012-03-26 08:25:00,2012-03-27 17:50:00,402,2010,33.5
767470,2012-03-26 08:25:00,2012-03-27 17:50:00,402,2010,33.5
767471,2012-03-26 08:25:00,2012-03-27 17:50:00,402,2010,33.5
767585,2012-03-26 08:25:00,2012-03-27 17:50:00,402,2010,33.5
767609,2012-03-26 08:25:00,2012-03-27 17:50:00,402,2010,33.5
767610,2012-03-26 08:25:00,2012-03-27 17:50:00,402,2010,33.5
767620,2012-03-26 08:25:00,2012-03-27 17:50:00,402,2010,33.5
767621,2012-03-26 08:25:00,2012-03-27 17:50:00,402,2010,33.5
717460,2012-06-26 14:45:00,2012-06-27 23:55:00,399,1995,33.25
717461,2012-06-26 14:45:00,2012-06-27 23:55:00,399,1995,33.25
772669,2012-06-26 14:45:00,2012-06-27 23:55:00,399,1995,33.25
767495,2012-03-26 07:25:00,2012-03-27 16:05:00,393,1965,32.75
717481,2012-03-26 07:40:00,2012-03-27 16:05:00,390,1950,32.5
762329,2012-03-26 08:10:00,2012-03-27 16:05:00,384,1920,32.0
717472,2012-03-26 08:25:00,2012-03-27 16:10:00,382,1910,31.83
716328,2012-03-26 08:25:00,2012-03-27 16:05:00,381,1905,31.75
716331,2012-03-26 08:25:00,2012-03-27 16:05:00,381,1905,31.75
716337,2012-03-26 08:25:00,2012-03-27 16:05:00,381,1905,31.75
716339,2012-03-26 08:25:00,2012-03-27 16:05:00,381,1905,31.75
