sensor_id,training_observed_count,training_observed_percent,training_mean,training_std,normalized_mean_verification,normalized_std_verification
718076,18475,77.01125468945393,67.24739678243873,2.680110858280921,1.3599345676036342e-15,1.0
760987,19410,80.90871196331804,65.3995290841736,7.2290996934857015,5.044450746406069e-16,1.0
769418,20085,83.72238432680284,57.566584120661794,7.691998519385391,-4.584831394299676e-16,0.9999999999999998
769405,20087,83.73072113380576,48.10041533614491,7.723443524138057,-3.395833256980615e-17,1.0
767454,20756,86.51938307628178,67.55398723872538,4.948300382557644,6.189348941290524e-16,1.0
717481,20760,86.53605669028762,66.09501389653485,10.93434653109068,-1.0678676953620002e-16,1.0
767471,20997,87.52396832013339,63.08790431890875,3.679401085480551,-3.248659457682984e-17,0.9999999999999999
716939,21018,87.61150479366403,53.2827741943036,15.652502317283298,-8.654436214415532e-17,1.0000000000000002
759772,21160,88.2034180908712,55.99200183034776,8.243060952293042,6.7696321138580435e-16,1.0
717804,21163,88.21592330137558,53.21275650300126,11.992633252164273,8.930887289712547e-16,1.0
718496,21175,88.26594414339309,57.06213729128015,12.7317202593737,-2.6307697985167347e-16,1.0
774204,21198,88.36181742392664,57.84869347886968,13.37193931455774,-1.9173056177694938e-16,1.0
767610,21257,88.60775323051271,65.7024654623575,2.5491468067734817,1.2889179042625707e-15,1.0
767455,21285,88.72446852855357,67.76228650476712,2.1313407957044066,3.0952089480703072e-15,1.0
717576,21300,88.78699458107545,64.31132871301887,6.9139294981136565,-1.838737821366043e-15,1.0000000000000002
718204,21327,88.89954147561484,62.94043306011234,9.45659645176307,-6.663316319783375e-17,1.0
717510,21353,89.00791996665276,57.974678663047975,8.00745747021137,5.217679059953342e-16,0.9999999999999999
718072,21359,89.03293038766152,65.47853676046009,4.37552823982746,-3.747157346131265e-15,1.0
767585,21392,89.17048770320967,67.27547642420843,2.7846334013508662,-2.8963783918418445e-15,1.0
767609,21405,89.22467694872863,61.45267028916994,2.900159756684034,5.351062322098956e-16,1.0
717585,21426,89.31221342225928,65.42829445088967,3.427754250327444,-1.15405989006121e-15,1.0
716968,21471,89.49979157982493,56.233576629384935,10.149347482925677,-5.612595965950025e-16,1.0000000000000002
767470,21487,89.56648603584827,60.80593792038154,2.677061714230862,-2.817435709348003e-16,1.0
717472,21504,89.63734889537307,56.874458037338194,20.487892315227118,2.749123680024197e-16,1.0
767621,21575,89.93330554397666,65.36786383784877,7.774673142173699,1.1131561746786275e-16,1.0
767620,21583,89.96665277198834,63.20717676095752,2.888839291645922,-3.0893448697459944e-15,1.0
759591,21654,90.26260942059191,60.08903377212466,7.305565543002629,-2.835083234953018e-16,1.0
717587,21665,90.30846185910796,65.81598538715433,3.8300365499409237,-1.1701899290062485e-15,1.0
717513,21690,90.41267194664444,60.29304251099549,8.111779125842414,-7.652502677434735e-16,1.0
717590,21736,90.60441850771154,65.22295595486385,6.7847058958588935,7.322486787369454e-17,1.0
717583,21740,90.62109212171738,64.65496426015974,5.952969519052844,1.3962458910612456e-15,1.0
717592,21741,90.62526052521885,62.60360291395892,3.6043406716891333,5.229144828739066e-17,1.0
717508,21760,90.70446019174656,54.829766974498135,14.69479218527918,-1.5412507871266879e-16,1.0000000000000002
717099,21765,90.72530220925385,64.56050193444405,5.875538295757419,-7.652249816777739e-16,0.9999999999999998
763995,21786,90.81283868278449,59.7174313743062,19.23079686209241,2.6091718929958695e-17,0.9999999999999999
767495,21825,90.97540641934138,67.66456504663721,2.0326021835221852,2.0289128656389205e-15,1.0
718045,21826,90.97957482284285,48.81975267228979,19.816873504211582,-1.836095037884617e-16,1.0
716554,21834,91.01292205085453,54.77042254980219,6.683138253914631,-6.300314813737995e-16,1.0
717580,21835,91.01709045435598,65.00191406690148,4.655468897451899,-1.082979722743125e-15,0.9999999999999999
760650,21837,91.0254272613589,49.753093482664845,14.208744213640202,5.388371893660878e-16,1.0
716955,21845,91.05877448937058,38.97475253136274,11.352354527807668,4.0332936248227246e-17,0.9999999999999999
716953,21848,91.07127969987495,56.41749003214125,10.084483115434212,6.478401362294578e-16,1.0
717504,21886,91.22967903293039,56.48700847392476,15.358106037974993,4.714009194570344e-16,1.0
774067,21886,91.22967903293039,60.60220652762003,9.450190053793376,7.895640744624708e-16,1.0
717502,21891,91.25052105043768,55.89387847292465,14.242442210564851,5.894411439131798e-16,1.0
773927,21893,91.2588578574406,60.11342891364131,12.504677034802773,2.3367778273752896e-16,1.0
772140,21904,91.30471029595665,57.29561491993924,10.036855099597664,4.3857458854440077e-16,1.0
718499,21956,91.5214672780325,59.20135196439054,7.395843473135054,2.485410917579509e-16,1.0
769388,21976,91.6048353480617,64.0866398444768,7.3085469530929945,-5.005097173992697e-16,1.0
